"State"	"State Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
"North Dakota"	"38"	"Decedent's home"	"4"	210	Not Applicable	Not Applicable
"North Dakota"	"38"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"North Dakota"	"38"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"North Dakota"	"38"	"Other"	"7"	60	Not Applicable	Not Applicable
"North Dakota"	"38"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Ohio"	"39"	"Medical Facility - Inpatient"	"1"	2451	Not Applicable	Not Applicable
"Ohio"	"39"	"Medical Facility - Outpatient or ER"	"2"	4383	Not Applicable	Not Applicable
"Ohio"	"39"	"Medical Facility - Dead on Arrival"	"3"	453	Not Applicable	Not Applicable
"Ohio"	"39"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Ohio"	"39"	"Decedent's home"	"4"	13927	Not Applicable	Not Applicable
"Ohio"	"39"	"Hospice facility"	"5"	90	Not Applicable	Not Applicable
"Ohio"	"39"	"Nursing home/long term care"	"6"	105	Not Applicable	Not Applicable
"Ohio"	"39"	"Other"	"7"	4594	Not Applicable	Not Applicable
"Ohio"	"39"	"Place of death unknown"	"9"	10	Not Applicable	Not Applicable
"Oklahoma"	"40"	"Medical Facility - Inpatient"	"1"	992	Not Applicable	Not Applicable
"Oklahoma"	"40"	"Medical Facility - Outpatient or ER"	"2"	1594	Not Applicable	Not Applicable
"Oklahoma"	"40"	"Medical Facility - Dead on Arrival"	"3"	99	Not Applicable	Not Applicable
"Oklahoma"	"40"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Oklahoma"	"40"	"Decedent's home"	"4"	5084	Not Applicable	Not Applicable
"Oklahoma"	"40"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Oklahoma"	"40"	"Nursing home/long term care"	"6"	31	Not Applicable	Not Applicable
"Oklahoma"	"40"	"Other"	"7"	1363	Not Applicable	Not Applicable
"Oklahoma"	"40"	"Place of death unknown"	"9"	14	Not Applicable	Not Applicable
"Oregon"	"41"	"Medical Facility - Inpatient"	"1"	705	Not Applicable	Not Applicable
"Oregon"	"41"	"Medical Facility - Outpatient or ER"	"2"	507	Not Applicable	Not Applicable
"Oregon"	"41"	"Medical Facility - Dead on Arrival"	"3"	32	Not Applicable	Not Applicable
"Oregon"	"41"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Oregon"	"41"	"Decedent's home"	"4"	4196	Not Applicable	Not Applicable
"Oregon"	"41"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Oregon"	"41"	"Nursing home/long term care"	"6"	31	Not Applicable	Not Applicable
"Oregon"	"41"	"Other"	"7"	1322	Not Applicable	Not Applicable
"Oregon"	"41"	"Place of death unknown"	"9"	115	Not Applicable	Not Applicable
"Pennsylvania"	"42"	"Medical Facility - Inpatient"	"1"	2758	Not Applicable	Not Applicable
"Pennsylvania"	"42"	"Medical Facility - Outpatient or ER"	"2"	4140	Not Applicable	Not Applicable
"Pennsylvania"	"42"	"Medical Facility - Dead on Arrival"	"3"	1705	Not Applicable	Not Applicable
"Pennsylvania"	"42"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Pennsylvania"	"42"	"Decedent's home"	"4"	16032	Not Applicable	Not Applicable
"Pennsylvania"	"42"	"Hospice facility"	"5"	26	Not Applicable	Not Applicable
"Pennsylvania"	"42"	"Nursing home/long term care"	"6"	133	Not Applicable	Not Applicable
"Pennsylvania"	"42"	"Other"	"7"	5689	Not Applicable	Not Applicable
"Pennsylvania"	"42"	"Place of death unknown"	"9"	62	Not Applicable	Not Applicable
"Rhode Island"	"44"	"Medical Facility - Inpatient"	"1"	200	Not Applicable	Not Applicable
"Rhode Island"	"44"	"Medical Facility - Outpatient or ER"	"2"	697	Not Applicable	Not Applicable
"Rhode Island"	"44"	"Medical Facility - Dead on Arrival"	"3"	18	Not Applicable	Not Applicable
"Rhode Island"	"44"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Rhode Island"	"44"	"Decedent's home"	"4"	1303	Not Applicable	Not Applicable
"Rhode Island"	"44"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Rhode Island"	"44"	"Nursing home/long term care"	"6"	17	Not Applicable	Not Applicable
"Rhode Island"	"44"	"Other"	"7"	463	Not Applicable	Not Applicable
"Rhode Island"	"44"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"South Carolina"	"45"	"Medical Facility - Inpatient"	"1"	802	Not Applicable	Not Applicable
"South Carolina"	"45"	"Medical Facility - Outpatient or ER"	"2"	1143	Not Applicable	Not Applicable
"South Carolina"	"45"	"Medical Facility - Dead on Arrival"	"3"	149	Not Applicable	Not Applicable
"South Carolina"	"45"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"South Carolina"	"45"	"Decedent's home"	"4"	4518	Not Applicable	Not Applicable
"South Carolina"	"45"	"Hospice facility"	"5"	23	Not Applicable	Not Applicable
"South Carolina"	"45"	"Nursing home/long term care"	"6"	13	Not Applicable	Not Applicable
"South Carolina"	"45"	"Other"	"7"	1409	Not Applicable	Not Applicable
"South Carolina"	"45"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"South Dakota"	"46"	"Medical Facility - Inpatient"	"1"	75	Not Applicable	Not Applicable
"South Dakota"	"46"	"Medical Facility - Outpatient or ER"	"2"	99	Not Applicable	Not Applicable
"South Dakota"	"46"	"Medical Facility - Dead on Arrival"	"3"	10	Not Applicable	Not Applicable
"South Dakota"	"46"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"South Dakota"	"46"	"Decedent's home"	"4"	370	Not Applicable	Not Applicable
"South Dakota"	"46"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"South Dakota"	"46"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"South Dakota"	"46"	"Other"	"7"	109	Not Applicable	Not Applicable
"South Dakota"	"46"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Tennessee"	"47"	"Medical Facility - Inpatient"	"1"	1750	Not Applicable	Not Applicable
"Tennessee"	"47"	"Medical Facility - Outpatient or ER"	"2"	2537	Not Applicable	Not Applicable
"Tennessee"	"47"	"Medical Facility - Dead on Arrival"	"3"	2420	Not Applicable	Not Applicable
"Tennessee"	"47"	"Medical Facility - Status unknown"	"10"	15	Not Applicable	Not Applicable
"Tennessee"	"47"	"Decedent's home"	"4"	6520	Not Applicable	Not Applicable
"Tennessee"	"47"	"Hospice facility"	"5"	11	Not Applicable	Not Applicable
"Tennessee"	"47"	"Nursing home/long term care"	"6"	66	Not Applicable	Not Applicable
"Tennessee"	"47"	"Other"	"7"	1404	Not Applicable	Not Applicable
"Tennessee"	"47"	"Place of death unknown"	"9"	64	Not Applicable	Not Applicable
"Texas"	"48"	"Medical Facility - Inpatient"	"1"	4088	Not Applicable	Not Applicable
"Texas"	"48"	"Medical Facility - Outpatient or ER"	"2"	5796	Not Applicable	Not Applicable
"Texas"	"48"	"Medical Facility - Dead on Arrival"	"3"	234	Not Applicable	Not Applicable
"Texas"	"48"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Texas"	"48"	"Decedent's home"	"4"	17748	Not Applicable	Not Applicable
"Texas"	"48"	"Hospice facility"	"5"	80	Not Applicable	Not Applicable
"Texas"	"48"	"Nursing home/long term care"	"6"	91	Not Applicable	Not Applicable
"Texas"	"48"	"Other"	"7"	5818	Not Applicable	Not Applicable
"Texas"	"48"	"Place of death unknown"	"9"	30	Not Applicable	Not Applicable
"Utah"	"49"	"Medical Facility - Inpatient"	"1"	695	Not Applicable	Not Applicable
"Utah"	"49"	"Medical Facility - Outpatient or ER"	"2"	987	Not Applicable	Not Applicable
"Utah"	"49"	"Medical Facility - Dead on Arrival"	"3"	105	Not Applicable	Not Applicable
"Utah"	"49"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Utah"	"49"	"Decedent's home"	"4"	4313	Not Applicable	Not Applicable
"Utah"	"49"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Utah"	"49"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Utah"	"49"	"Other"	"7"	1142	Not Applicable	Not Applicable
"Utah"	"49"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Vermont"	"50"	"Medical Facility - Inpatient"	"1"	94	Not Applicable	Not Applicable
"Vermont"	"50"	"Medical Facility - Outpatient or ER"	"2"	205	Not Applicable	Not Applicable
"Vermont"	"50"	"Medical Facility - Dead on Arrival"	"3"	33	Not Applicable	Not Applicable
"Vermont"	"50"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Vermont"	"50"	"Decedent's home"	"4"	592	Not Applicable	Not Applicable
"Vermont"	"50"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Vermont"	"50"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Vermont"	"50"	"Other"	"7"	136	Not Applicable	Not Applicable
"Vermont"	"50"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Virginia"	"51"	"Medical Facility - Inpatient"	"1"	1081	Not Applicable	Not Applicable
"Virginia"	"51"	"Medical Facility - Outpatient or ER"	"2"	1506	Not Applicable	Not Applicable
"Virginia"	"51"	"Medical Facility - Dead on Arrival"	"3"	737	Not Applicable	Not Applicable
"Virginia"	"51"	"Medical Facility - Status unknown"	"10"	92	Not Applicable	Not Applicable
"Virginia"	"51"	"Decedent's home"	"4"	5248	Not Applicable	Not Applicable
"Virginia"	"51"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Virginia"	"51"	"Nursing home/long term care"	"6"	24	Not Applicable	Not Applicable
"Virginia"	"51"	"Other"	"7"	2153	Not Applicable	Not Applicable
"Virginia"	"51"	"Place of death unknown"	"9"	86	Not Applicable	Not Applicable
"Washington"	"53"	"Medical Facility - Inpatient"	"1"	1697	Not Applicable	Not Applicable
"Washington"	"53"	"Medical Facility - Outpatient or ER"	"2"	802	Not Applicable	Not Applicable
"Washington"	"53"	"Medical Facility - Dead on Arrival"	"3"	28	Not Applicable	Not Applicable
"Washington"	"53"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Washington"	"53"	"Decedent's home"	"4"	8952	Not Applicable	Not Applicable
"Washington"	"53"	"Hospice facility"	"5"	32	Not Applicable	Not Applicable
"Washington"	"53"	"Nursing home/long term care"	"6"	103	Not Applicable	Not Applicable
"Washington"	"53"	"Other"	"7"	2567	Not Applicable	Not Applicable
"Washington"	"53"	"Place of death unknown"	"9"	18	Not Applicable	Not Applicable
"West Virginia"	"54"	"Medical Facility - Inpatient"	"1"	489	Not Applicable	Not Applicable
"West Virginia"	"54"	"Medical Facility - Outpatient or ER"	"2"	1156	Not Applicable	Not Applicable
"West Virginia"	"54"	"Medical Facility - Dead on Arrival"	"3"	178	Not Applicable	Not Applicable
"West Virginia"	"54"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"West Virginia"	"54"	"Decedent's home"	"4"	3110	Not Applicable	Not Applicable
"West Virginia"	"54"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"West Virginia"	"54"	"Nursing home/long term care"	"6"	26	Not Applicable	Not Applicable
"West Virginia"	"54"	"Other"	"7"	1454	Not Applicable	Not Applicable
"West Virginia"	"54"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Wisconsin"	"55"	"Medical Facility - Inpatient"	"1"	879	Not Applicable	Not Applicable
"Wisconsin"	"55"	"Medical Facility - Outpatient or ER"	"2"	895	Not Applicable	Not Applicable
"Wisconsin"	"55"	"Medical Facility - Dead on Arrival"	"3"	61	Not Applicable	Not Applicable
"Wisconsin"	"55"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Wisconsin"	"55"	"Decedent's home"	"4"	5742	Not Applicable	Not Applicable
"Wisconsin"	"55"	"Hospice facility"	"5"	11	Not Applicable	Not Applicable
"Wisconsin"	"55"	"Nursing home/long term care"	"6"	28	Not Applicable	Not Applicable
"Wisconsin"	"55"	"Other"	"7"	1704	Not Applicable	Not Applicable
"Wisconsin"	"55"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Wyoming"	"56"	"Medical Facility - Inpatient"	"1"	96	Not Applicable	Not Applicable
"Wyoming"	"56"	"Medical Facility - Outpatient or ER"	"2"	142	Not Applicable	Not Applicable
"Wyoming"	"56"	"Medical Facility - Dead on Arrival"	"3"	11	Not Applicable	Not Applicable
"Wyoming"	"56"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Wyoming"	"56"	"Decedent's home"	"4"	587	Not Applicable	Not Applicable
"Wyoming"	"56"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Wyoming"	"56"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Wyoming"	"56"	"Other"	"7"	162	Not Applicable	Not Applicable
"Wyoming"	"56"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
