"State"	"State Code"	"Year"	"Year Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
"Georgia"	"13"	"1999"	"1999"	"Other"	"7"	54	Not Applicable	Not Applicable
"Georgia"	"13"	"1999"	"1999"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2000"	"2000"	"Medical Facility - Inpatient"	"1"	40	Not Applicable	Not Applicable
"Georgia"	"13"	"2000"	"2000"	"Medical Facility - Outpatient or ER"	"2"	55	Not Applicable	Not Applicable
"Georgia"	"13"	"2000"	"2000"	"Medical Facility - Dead on Arrival"	"3"	59	Not Applicable	Not Applicable
"Georgia"	"13"	"2000"	"2000"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2000"	"2000"	"Decedent's home"	"4"	143	Not Applicable	Not Applicable
"Georgia"	"13"	"2000"	"2000"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2000"	"2000"	"Other"	"7"	55	Not Applicable	Not Applicable
"Georgia"	"13"	"2000"	"2000"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2001"	"2001"	"Medical Facility - Inpatient"	"1"	65	Not Applicable	Not Applicable
"Georgia"	"13"	"2001"	"2001"	"Medical Facility - Outpatient or ER"	"2"	80	Not Applicable	Not Applicable
"Georgia"	"13"	"2001"	"2001"	"Medical Facility - Dead on Arrival"	"3"	73	Not Applicable	Not Applicable
"Georgia"	"13"	"2001"	"2001"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2001"	"2001"	"Decedent's home"	"4"	197	Not Applicable	Not Applicable
"Georgia"	"13"	"2001"	"2001"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2001"	"2001"	"Other"	"7"	74	Not Applicable	Not Applicable
"Georgia"	"13"	"2001"	"2001"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2002"	"2002"	"Medical Facility - Inpatient"	"1"	54	Not Applicable	Not Applicable
"Georgia"	"13"	"2002"	"2002"	"Medical Facility - Outpatient or ER"	"2"	90	Not Applicable	Not Applicable
"Georgia"	"13"	"2002"	"2002"	"Medical Facility - Dead on Arrival"	"3"	73	Not Applicable	Not Applicable
"Georgia"	"13"	"2002"	"2002"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2002"	"2002"	"Decedent's home"	"4"	231	Not Applicable	Not Applicable
"Georgia"	"13"	"2002"	"2002"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2002"	"2002"	"Other"	"7"	99	Not Applicable	Not Applicable
"Georgia"	"13"	"2002"	"2002"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2003"	"2003"	"Medical Facility - Inpatient"	"1"	52	Not Applicable	Not Applicable
"Georgia"	"13"	"2003"	"2003"	"Medical Facility - Outpatient or ER"	"2"	96	Not Applicable	Not Applicable
"Georgia"	"13"	"2003"	"2003"	"Medical Facility - Dead on Arrival"	"3"	53	Not Applicable	Not Applicable
"Georgia"	"13"	"2003"	"2003"	"Decedent's home"	"4"	279	Not Applicable	Not Applicable
"Georgia"	"13"	"2003"	"2003"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2003"	"2003"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2003"	"2003"	"Other"	"7"	112	Not Applicable	Not Applicable
"Georgia"	"13"	"2003"	"2003"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2004"	"2004"	"Medical Facility - Inpatient"	"1"	66	Not Applicable	Not Applicable
"Georgia"	"13"	"2004"	"2004"	"Medical Facility - Outpatient or ER"	"2"	107	Not Applicable	Not Applicable
"Georgia"	"13"	"2004"	"2004"	"Medical Facility - Dead on Arrival"	"3"	61	Not Applicable	Not Applicable
"Georgia"	"13"	"2004"	"2004"	"Decedent's home"	"4"	304	Not Applicable	Not Applicable
"Georgia"	"13"	"2004"	"2004"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2004"	"2004"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2004"	"2004"	"Other"	"7"	117	Not Applicable	Not Applicable
"Georgia"	"13"	"2004"	"2004"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2005"	"2005"	"Medical Facility - Inpatient"	"1"	77	Not Applicable	Not Applicable
"Georgia"	"13"	"2005"	"2005"	"Medical Facility - Outpatient or ER"	"2"	109	Not Applicable	Not Applicable
"Georgia"	"13"	"2005"	"2005"	"Medical Facility - Dead on Arrival"	"3"	61	Not Applicable	Not Applicable
"Georgia"	"13"	"2005"	"2005"	"Decedent's home"	"4"	326	Not Applicable	Not Applicable
"Georgia"	"13"	"2005"	"2005"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2005"	"2005"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2005"	"2005"	"Other"	"7"	144	Not Applicable	Not Applicable
"Georgia"	"13"	"2005"	"2005"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2006"	"2006"	"Medical Facility - Inpatient"	"1"	75	Not Applicable	Not Applicable
"Georgia"	"13"	"2006"	"2006"	"Medical Facility - Outpatient or ER"	"2"	127	Not Applicable	Not Applicable
"Georgia"	"13"	"2006"	"2006"	"Medical Facility - Dead on Arrival"	"3"	79	Not Applicable	Not Applicable
"Georgia"	"13"	"2006"	"2006"	"Decedent's home"	"4"	364	Not Applicable	Not Applicable
"Georgia"	"13"	"2006"	"2006"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2006"	"2006"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2006"	"2006"	"Other"	"7"	168	Not Applicable	Not Applicable
"Georgia"	"13"	"2006"	"2006"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2007"	"2007"	"Medical Facility - Inpatient"	"1"	75	Not Applicable	Not Applicable
"Georgia"	"13"	"2007"	"2007"	"Medical Facility - Outpatient or ER"	"2"	141	Not Applicable	Not Applicable
"Georgia"	"13"	"2007"	"2007"	"Medical Facility - Dead on Arrival"	"3"	66	Not Applicable	Not Applicable
"Georgia"	"13"	"2007"	"2007"	"Decedent's home"	"4"	439	Not Applicable	Not Applicable
"Georgia"	"13"	"2007"	"2007"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2007"	"2007"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2007"	"2007"	"Other"	"7"	182	Not Applicable	Not Applicable
"Georgia"	"13"	"2007"	"2007"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2008"	"2008"	"Medical Facility - Inpatient"	"1"	35	Not Applicable	Not Applicable
"Georgia"	"13"	"2008"	"2008"	"Medical Facility - Outpatient or ER"	"2"	41	Not Applicable	Not Applicable
"Georgia"	"13"	"2008"	"2008"	"Medical Facility - Dead on Arrival"	"3"	14	Not Applicable	Not Applicable
"Georgia"	"13"	"2008"	"2008"	"Decedent's home"	"4"	142	Not Applicable	Not Applicable
"Georgia"	"13"	"2008"	"2008"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2008"	"2008"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2008"	"2008"	"Other"	"7"	64	Not Applicable	Not Applicable
"Georgia"	"13"	"2008"	"2008"	"Place of death unknown"	"9"	626	Not Applicable	Not Applicable
"Georgia"	"13"	"2009"	"2009"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2009"	"2009"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2009"	"2009"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2009"	"2009"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2009"	"2009"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2009"	"2009"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2009"	"2009"	"Other"	"7"	33	Not Applicable	Not Applicable
"Georgia"	"13"	"2009"	"2009"	"Place of death unknown"	"9"	933	Not Applicable	Not Applicable
"Georgia"	"13"	"2010"	"2010"	"Medical Facility - Inpatient"	"1"	97	Not Applicable	Not Applicable
"Georgia"	"13"	"2010"	"2010"	"Medical Facility - Outpatient or ER"	"2"	150	Not Applicable	Not Applicable
"Georgia"	"13"	"2010"	"2010"	"Medical Facility - Dead on Arrival"	"3"	70	Not Applicable	Not Applicable
"Georgia"	"13"	"2010"	"2010"	"Decedent's home"	"4"	549	Not Applicable	Not Applicable
"Georgia"	"13"	"2010"	"2010"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2010"	"2010"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2010"	"2010"	"Other"	"7"	171	Not Applicable	Not Applicable
"Georgia"	"13"	"2010"	"2010"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2011"	"2011"	"Medical Facility - Inpatient"	"1"	105	Not Applicable	Not Applicable
"Georgia"	"13"	"2011"	"2011"	"Medical Facility - Outpatient or ER"	"2"	165	Not Applicable	Not Applicable
"Georgia"	"13"	"2011"	"2011"	"Medical Facility - Dead on Arrival"	"3"	60	Not Applicable	Not Applicable
"Georgia"	"13"	"2011"	"2011"	"Decedent's home"	"4"	542	Not Applicable	Not Applicable
"Georgia"	"13"	"2011"	"2011"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2011"	"2011"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2011"	"2011"	"Other"	"7"	168	Not Applicable	Not Applicable
"Georgia"	"13"	"2011"	"2011"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2012"	"2012"	"Medical Facility - Inpatient"	"1"	108	Not Applicable	Not Applicable
"Georgia"	"13"	"2012"	"2012"	"Medical Facility - Outpatient or ER"	"2"	173	Not Applicable	Not Applicable
"Georgia"	"13"	"2012"	"2012"	"Medical Facility - Dead on Arrival"	"3"	55	Not Applicable	Not Applicable
"Georgia"	"13"	"2012"	"2012"	"Decedent's home"	"4"	531	Not Applicable	Not Applicable
"Georgia"	"13"	"2012"	"2012"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2012"	"2012"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2012"	"2012"	"Other"	"7"	170	Not Applicable	Not Applicable
"Georgia"	"13"	"2012"	"2012"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2013"	"2013"	"Medical Facility - Inpatient"	"1"	99	Not Applicable	Not Applicable
"Georgia"	"13"	"2013"	"2013"	"Medical Facility - Outpatient or ER"	"2"	160	Not Applicable	Not Applicable
"Georgia"	"13"	"2013"	"2013"	"Medical Facility - Dead on Arrival"	"3"	63	Not Applicable	Not Applicable
"Georgia"	"13"	"2013"	"2013"	"Decedent's home"	"4"	550	Not Applicable	Not Applicable
"Georgia"	"13"	"2013"	"2013"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2013"	"2013"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2013"	"2013"	"Other"	"7"	205	Not Applicable	Not Applicable
"Georgia"	"13"	"2013"	"2013"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2014"	"2014"	"Medical Facility - Inpatient"	"1"	117	Not Applicable	Not Applicable
"Georgia"	"13"	"2014"	"2014"	"Medical Facility - Outpatient or ER"	"2"	198	Not Applicable	Not Applicable
"Georgia"	"13"	"2014"	"2014"	"Medical Facility - Dead on Arrival"	"3"	65	Not Applicable	Not Applicable
"Georgia"	"13"	"2014"	"2014"	"Decedent's home"	"4"	596	Not Applicable	Not Applicable
"Georgia"	"13"	"2014"	"2014"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2014"	"2014"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2014"	"2014"	"Other"	"7"	219	Not Applicable	Not Applicable
"Georgia"	"13"	"2014"	"2014"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2015"	"2015"	"Medical Facility - Inpatient"	"1"	129	Not Applicable	Not Applicable
"Georgia"	"13"	"2015"	"2015"	"Medical Facility - Outpatient or ER"	"2"	222	Not Applicable	Not Applicable
"Georgia"	"13"	"2015"	"2015"	"Medical Facility - Dead on Arrival"	"3"	67	Not Applicable	Not Applicable
"Georgia"	"13"	"2015"	"2015"	"Decedent's home"	"4"	605	Not Applicable	Not Applicable
"Georgia"	"13"	"2015"	"2015"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2015"	"2015"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Georgia"	"13"	"2015"	"2015"	"Other"	"7"	260	Not Applicable	Not Applicable
"Georgia"	"13"	"2015"	"2015"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"1999"	"1999"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"1999"	"1999"	"Medical Facility - Outpatient or ER"	"2"	15	Not Applicable	Not Applicable
"Hawaii"	"15"	"1999"	"1999"	"Medical Facility - Dead on Arrival"	"3"	12	Not Applicable	Not Applicable
"Hawaii"	"15"	"1999"	"1999"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"1999"	"1999"	"Decedent's home"	"4"	24	Not Applicable	Not Applicable
"Hawaii"	"15"	"1999"	"1999"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"1999"	"1999"	"Other"	"7"	18	Not Applicable	Not Applicable
"Hawaii"	"15"	"1999"	"1999"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2000"	"2000"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2000"	"2000"	"Medical Facility - Outpatient or ER"	"2"	16	Not Applicable	Not Applicable
"Hawaii"	"15"	"2000"	"2000"	"Medical Facility - Dead on Arrival"	"3"	14	Not Applicable	Not Applicable
"Hawaii"	"15"	"2000"	"2000"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2000"	"2000"	"Decedent's home"	"4"	21	Not Applicable	Not Applicable
"Hawaii"	"15"	"2000"	"2000"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2000"	"2000"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2000"	"2000"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2001"	"2001"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2001"	"2001"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
"Hawaii"	"15"	"2001"	"2001"	"Medical Facility - Dead on Arrival"	"3"	11	Not Applicable	Not Applicable
"Hawaii"	"15"	"2001"	"2001"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2001"	"2001"	"Decedent's home"	"4"	35	Not Applicable	Not Applicable
"Hawaii"	"15"	"2001"	"2001"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2001"	"2001"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2001"	"2001"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2002"	"2002"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2002"	"2002"	"Medical Facility - Outpatient or ER"	"2"	19	Not Applicable	Not Applicable
"Hawaii"	"15"	"2002"	"2002"	"Medical Facility - Dead on Arrival"	"3"	11	Not Applicable	Not Applicable
"Hawaii"	"15"	"2002"	"2002"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2002"	"2002"	"Decedent's home"	"4"	30	Not Applicable	Not Applicable
"Hawaii"	"15"	"2002"	"2002"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2002"	"2002"	"Other"	"7"	11	Not Applicable	Not Applicable
"Hawaii"	"15"	"2002"	"2002"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2003"	"2003"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2003"	"2003"	"Medical Facility - Outpatient or ER"	"2"	18	Not Applicable	Not Applicable
"Hawaii"	"15"	"2003"	"2003"	"Medical Facility - Dead on Arrival"	"3"	13	Not Applicable	Not Applicable
"Hawaii"	"15"	"2003"	"2003"	"Decedent's home"	"4"	38	Not Applicable	Not Applicable
"Hawaii"	"15"	"2003"	"2003"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2003"	"2003"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2003"	"2003"	"Other"	"7"	14	Not Applicable	Not Applicable
"Hawaii"	"15"	"2003"	"2003"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2004"	"2004"	"Medical Facility - Inpatient"	"1"	13	Not Applicable	Not Applicable
"Hawaii"	"15"	"2004"	"2004"	"Medical Facility - Outpatient or ER"	"2"	19	Not Applicable	Not Applicable
"Hawaii"	"15"	"2004"	"2004"	"Medical Facility - Dead on Arrival"	"3"	16	Not Applicable	Not Applicable
"Hawaii"	"15"	"2004"	"2004"	"Decedent's home"	"4"	38	Not Applicable	Not Applicable
"Hawaii"	"15"	"2004"	"2004"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2004"	"2004"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2004"	"2004"	"Other"	"7"	17	Not Applicable	Not Applicable
"Hawaii"	"15"	"2004"	"2004"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2005"	"2005"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
"Hawaii"	"15"	"2005"	"2005"	"Medical Facility - Outpatient or ER"	"2"	17	Not Applicable	Not Applicable
"Hawaii"	"15"	"2005"	"2005"	"Medical Facility - Dead on Arrival"	"3"	26	Not Applicable	Not Applicable
"Hawaii"	"15"	"2005"	"2005"	"Decedent's home"	"4"	49	Not Applicable	Not Applicable
"Hawaii"	"15"	"2005"	"2005"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2005"	"2005"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2005"	"2005"	"Other"	"7"	18	Not Applicable	Not Applicable
"Hawaii"	"15"	"2005"	"2005"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2006"	"2006"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2006"	"2006"	"Medical Facility - Outpatient or ER"	"2"	18	Not Applicable	Not Applicable
"Hawaii"	"15"	"2006"	"2006"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2006"	"2006"	"Decedent's home"	"4"	29	Not Applicable	Not Applicable
"Hawaii"	"15"	"2006"	"2006"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2006"	"2006"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2006"	"2006"	"Other"	"7"	20	Not Applicable	Not Applicable
"Hawaii"	"15"	"2006"	"2006"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2007"	"2007"	"Medical Facility - Inpatient"	"1"	13	Not Applicable	Not Applicable
"Hawaii"	"15"	"2007"	"2007"	"Medical Facility - Outpatient or ER"	"2"	31	Not Applicable	Not Applicable
"Hawaii"	"15"	"2007"	"2007"	"Medical Facility - Dead on Arrival"	"3"	19	Not Applicable	Not Applicable
"Hawaii"	"15"	"2007"	"2007"	"Decedent's home"	"4"	42	Not Applicable	Not Applicable
"Hawaii"	"15"	"2007"	"2007"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2007"	"2007"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2007"	"2007"	"Other"	"7"	31	Not Applicable	Not Applicable
"Hawaii"	"15"	"2007"	"2007"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2008"	"2008"	"Medical Facility - Inpatient"	"1"	12	Not Applicable	Not Applicable
"Hawaii"	"15"	"2008"	"2008"	"Medical Facility - Outpatient or ER"	"2"	31	Not Applicable	Not Applicable
"Hawaii"	"15"	"2008"	"2008"	"Medical Facility - Dead on Arrival"	"3"	20	Not Applicable	Not Applicable
"Hawaii"	"15"	"2008"	"2008"	"Decedent's home"	"4"	36	Not Applicable	Not Applicable
"Hawaii"	"15"	"2008"	"2008"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2008"	"2008"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2008"	"2008"	"Other"	"7"	21	Not Applicable	Not Applicable
"Hawaii"	"15"	"2008"	"2008"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2009"	"2009"	"Medical Facility - Inpatient"	"1"	15	Not Applicable	Not Applicable
"Hawaii"	"15"	"2009"	"2009"	"Medical Facility - Outpatient or ER"	"2"	40	Not Applicable	Not Applicable
"Hawaii"	"15"	"2009"	"2009"	"Medical Facility - Dead on Arrival"	"3"	20	Not Applicable	Not Applicable
"Hawaii"	"15"	"2009"	"2009"	"Decedent's home"	"4"	42	Not Applicable	Not Applicable
"Hawaii"	"15"	"2009"	"2009"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2009"	"2009"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2009"	"2009"	"Other"	"7"	18	Not Applicable	Not Applicable
"Hawaii"	"15"	"2009"	"2009"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2010"	"2010"	"Medical Facility - Inpatient"	"1"	21	Not Applicable	Not Applicable
"Hawaii"	"15"	"2010"	"2010"	"Medical Facility - Outpatient or ER"	"2"	25	Not Applicable	Not Applicable
"Hawaii"	"15"	"2010"	"2010"	"Medical Facility - Dead on Arrival"	"3"	15	Not Applicable	Not Applicable
"Hawaii"	"15"	"2010"	"2010"	"Decedent's home"	"4"	64	Not Applicable	Not Applicable
"Hawaii"	"15"	"2010"	"2010"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2010"	"2010"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2010"	"2010"	"Other"	"7"	25	Not Applicable	Not Applicable
"Hawaii"	"15"	"2010"	"2010"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2011"	"2011"	"Medical Facility - Inpatient"	"1"	23	Not Applicable	Not Applicable
"Hawaii"	"15"	"2011"	"2011"	"Medical Facility - Outpatient or ER"	"2"	21	Not Applicable	Not Applicable
"Hawaii"	"15"	"2011"	"2011"	"Medical Facility - Dead on Arrival"	"3"	22	Not Applicable	Not Applicable
"Hawaii"	"15"	"2011"	"2011"	"Decedent's home"	"4"	83	Not Applicable	Not Applicable
"Hawaii"	"15"	"2011"	"2011"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2011"	"2011"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2011"	"2011"	"Other"	"7"	27	Not Applicable	Not Applicable
"Hawaii"	"15"	"2011"	"2011"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2012"	"2012"	"Medical Facility - Inpatient"	"1"	18	Not Applicable	Not Applicable
"Hawaii"	"15"	"2012"	"2012"	"Medical Facility - Outpatient or ER"	"2"	24	Not Applicable	Not Applicable
"Hawaii"	"15"	"2012"	"2012"	"Medical Facility - Dead on Arrival"	"3"	15	Not Applicable	Not Applicable
"Hawaii"	"15"	"2012"	"2012"	"Decedent's home"	"4"	71	Not Applicable	Not Applicable
"Hawaii"	"15"	"2012"	"2012"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2012"	"2012"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2012"	"2012"	"Other"	"7"	23	Not Applicable	Not Applicable
"Hawaii"	"15"	"2012"	"2012"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2013"	"2013"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
"Hawaii"	"15"	"2013"	"2013"	"Medical Facility - Outpatient or ER"	"2"	43	Not Applicable	Not Applicable
"Hawaii"	"15"	"2013"	"2013"	"Medical Facility - Dead on Arrival"	"3"	20	Not Applicable	Not Applicable
"Hawaii"	"15"	"2013"	"2013"	"Decedent's home"	"4"	53	Not Applicable	Not Applicable
"Hawaii"	"15"	"2013"	"2013"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2013"	"2013"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2013"	"2013"	"Other"	"7"	22	Not Applicable	Not Applicable
"Hawaii"	"15"	"2013"	"2013"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Hawaii"	"15"	"2014"	"2014"	"Medical Facility - Inpatient"	"1"	21	Not Applicable	Not Applicable
"Hawaii"	"15"	"2014"	"2014"	"Medical Facility - Outpatient or ER"	"2"	28	Not Applicable	Not Applicable
