"County"	"County Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
"Clay County, GA"	"13061"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Clay County, GA"	"13061"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Clay County, GA"	"13061"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Clay County, GA"	"13061"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Clay County, GA"	"13061"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Clay County, GA"	"13061"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Clay County, GA"	"13061"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Clayton County, GA"	"13063"	"Medical Facility - Inpatient"	"1"	31	Not Applicable	Not Applicable
"Clayton County, GA"	"13063"	"Medical Facility - Outpatient or ER"	"2"	50	Not Applicable	Not Applicable
"Clayton County, GA"	"13063"	"Medical Facility - Dead on Arrival"	"3"	44	Not Applicable	Not Applicable
"Clayton County, GA"	"13063"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Clayton County, GA"	"13063"	"Decedent's home"	"4"	130	Not Applicable	Not Applicable
"Clayton County, GA"	"13063"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Clayton County, GA"	"13063"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Clayton County, GA"	"13063"	"Other"	"7"	48	Not Applicable	Not Applicable
"Clayton County, GA"	"13063"	"Place of death unknown"	"9"	28	Not Applicable	Not Applicable
"Clinch County, GA"	"13065"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Clinch County, GA"	"13065"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Clinch County, GA"	"13065"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Clinch County, GA"	"13065"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Clinch County, GA"	"13065"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Clinch County, GA"	"13065"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Clinch County, GA"	"13065"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Clinch County, GA"	"13065"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Clinch County, GA"	"13065"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Cobb County, GA"	"13067"	"Medical Facility - Inpatient"	"1"	103	Not Applicable	Not Applicable
"Cobb County, GA"	"13067"	"Medical Facility - Outpatient or ER"	"2"	108	Not Applicable	Not Applicable
"Cobb County, GA"	"13067"	"Medical Facility - Dead on Arrival"	"3"	122	Not Applicable	Not Applicable
"Cobb County, GA"	"13067"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Cobb County, GA"	"13067"	"Decedent's home"	"4"	410	Not Applicable	Not Applicable
"Cobb County, GA"	"13067"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Cobb County, GA"	"13067"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Cobb County, GA"	"13067"	"Other"	"7"	184	Not Applicable	Not Applicable
"Cobb County, GA"	"13067"	"Place of death unknown"	"9"	120	Not Applicable	Not Applicable
"Coffee County, GA"	"13069"	"Medical Facility - Inpatient"	"1"	13	Not Applicable	Not Applicable
"Coffee County, GA"	"13069"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Coffee County, GA"	"13069"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Coffee County, GA"	"13069"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Coffee County, GA"	"13069"	"Decedent's home"	"4"	26	Not Applicable	Not Applicable
"Coffee County, GA"	"13069"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Coffee County, GA"	"13069"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Coffee County, GA"	"13069"	"Other"	"7"	11	Not Applicable	Not Applicable
"Coffee County, GA"	"13069"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Colquitt County, GA"	"13071"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Colquitt County, GA"	"13071"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Colquitt County, GA"	"13071"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Colquitt County, GA"	"13071"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Colquitt County, GA"	"13071"	"Decedent's home"	"4"	30	Not Applicable	Not Applicable
"Colquitt County, GA"	"13071"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Colquitt County, GA"	"13071"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Colquitt County, GA"	"13071"	"Other"	"7"	10	Not Applicable	Not Applicable
"Colquitt County, GA"	"13071"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Columbia County, GA"	"13073"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Columbia County, GA"	"13073"	"Medical Facility - Outpatient or ER"	"2"	20	Not Applicable	Not Applicable
"Columbia County, GA"	"13073"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Columbia County, GA"	"13073"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Columbia County, GA"	"13073"	"Decedent's home"	"4"	79	Not Applicable	Not Applicable
"Columbia County, GA"	"13073"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Columbia County, GA"	"13073"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Columbia County, GA"	"13073"	"Other"	"7"	33	Not Applicable	Not Applicable
"Columbia County, GA"	"13073"	"Place of death unknown"	"9"	13	Not Applicable	Not Applicable
"Cook County, GA"	"13075"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Cook County, GA"	"13075"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Cook County, GA"	"13075"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Cook County, GA"	"13075"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Cook County, GA"	"13075"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
"Cook County, GA"	"13075"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Cook County, GA"	"13075"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Cook County, GA"	"13075"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Cook County, GA"	"13075"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Coweta County, GA"	"13077"	"Medical Facility - Inpatient"	"1"	12	Not Applicable	Not Applicable
"Coweta County, GA"	"13077"	"Medical Facility - Outpatient or ER"	"2"	27	Not Applicable	Not Applicable
"Coweta County, GA"	"13077"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Coweta County, GA"	"13077"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Coweta County, GA"	"13077"	"Decedent's home"	"4"	86	Not Applicable	Not Applicable
"Coweta County, GA"	"13077"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Coweta County, GA"	"13077"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Coweta County, GA"	"13077"	"Other"	"7"	22	Not Applicable	Not Applicable
"Coweta County, GA"	"13077"	"Place of death unknown"	"9"	23	Not Applicable	Not Applicable
"Crawford County, GA"	"13079"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Crawford County, GA"	"13079"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Crawford County, GA"	"13079"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Crawford County, GA"	"13079"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Crawford County, GA"	"13079"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
"Crawford County, GA"	"13079"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Crawford County, GA"	"13079"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Crawford County, GA"	"13079"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Crawford County, GA"	"13079"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Crisp County, GA"	"13081"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Crisp County, GA"	"13081"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Crisp County, GA"	"13081"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Crisp County, GA"	"13081"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Crisp County, GA"	"13081"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Crisp County, GA"	"13081"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Crisp County, GA"	"13081"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Crisp County, GA"	"13081"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Crisp County, GA"	"13081"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Dade County, GA"	"13083"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Dade County, GA"	"13083"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Dade County, GA"	"13083"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Dade County, GA"	"13083"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Dade County, GA"	"13083"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
"Dade County, GA"	"13083"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Dade County, GA"	"13083"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Dade County, GA"	"13083"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Dade County, GA"	"13083"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Dawson County, GA"	"13085"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Dawson County, GA"	"13085"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Dawson County, GA"	"13085"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Dawson County, GA"	"13085"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Dawson County, GA"	"13085"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
"Dawson County, GA"	"13085"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Dawson County, GA"	"13085"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Dawson County, GA"	"13085"	"Other"	"7"	12	Not Applicable	Not Applicable
"Dawson County, GA"	"13085"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Decatur County, GA"	"13087"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Decatur County, GA"	"13087"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Decatur County, GA"	"13087"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Decatur County, GA"	"13087"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Decatur County, GA"	"13087"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Decatur County, GA"	"13087"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Decatur County, GA"	"13087"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Decatur County, GA"	"13087"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Decatur County, GA"	"13087"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"DeKalb County, GA"	"13089"	"Medical Facility - Inpatient"	"1"	62	Not Applicable	Not Applicable
"DeKalb County, GA"	"13089"	"Medical Facility - Outpatient or ER"	"2"	107	Not Applicable	Not Applicable
"DeKalb County, GA"	"13089"	"Medical Facility - Dead on Arrival"	"3"	31	Not Applicable	Not Applicable
"DeKalb County, GA"	"13089"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"DeKalb County, GA"	"13089"	"Decedent's home"	"4"	264	Not Applicable	Not Applicable
"DeKalb County, GA"	"13089"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"DeKalb County, GA"	"13089"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"DeKalb County, GA"	"13089"	"Other"	"7"	144	Not Applicable	Not Applicable
"DeKalb County, GA"	"13089"	"Place of death unknown"	"9"	69	Not Applicable	Not Applicable
"Dodge County, GA"	"13091"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Dodge County, GA"	"13091"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Dodge County, GA"	"13091"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Dodge County, GA"	"13091"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Dodge County, GA"	"13091"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
"Dodge County, GA"	"13091"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Dodge County, GA"	"13091"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Dodge County, GA"	"13091"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Dodge County, GA"	"13091"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Dooly County, GA"	"13093"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Dooly County, GA"	"13093"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Dooly County, GA"	"13093"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Dooly County, GA"	"13093"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Dooly County, GA"	"13093"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Dooly County, GA"	"13093"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Dooly County, GA"	"13093"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Dooly County, GA"	"13093"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Dooly County, GA"	"13093"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Dougherty County, GA"	"13095"	"Medical Facility - Inpatient"	"1"	15	Not Applicable	Not Applicable
"Dougherty County, GA"	"13095"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
"Dougherty County, GA"	"13095"	"Medical Facility - Dead on Arrival"	"3"	13	Not Applicable	Not Applicable
"Dougherty County, GA"	"13095"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Dougherty County, GA"	"13095"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
"Dougherty County, GA"	"13095"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Dougherty County, GA"	"13095"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Dougherty County, GA"	"13095"	"Other"	"7"	11	Not Applicable	Not Applicable
"Dougherty County, GA"	"13095"	"Place of death unknown"	"9"	17	Not Applicable	Not Applicable
"Douglas County, GA"	"13097"	"Medical Facility - Inpatient"	"1"	15	Not Applicable	Not Applicable
"Douglas County, GA"	"13097"	"Medical Facility - Outpatient or ER"	"2"	24	Not Applicable	Not Applicable
"Douglas County, GA"	"13097"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Douglas County, GA"	"13097"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Douglas County, GA"	"13097"	"Decedent's home"	"4"	86	Not Applicable	Not Applicable
"Douglas County, GA"	"13097"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Douglas County, GA"	"13097"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Douglas County, GA"	"13097"	"Other"	"7"	31	Not Applicable	Not Applicable
"Douglas County, GA"	"13097"	"Place of death unknown"	"9"	19	Not Applicable	Not Applicable
"Early County, GA"	"13099"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Early County, GA"	"13099"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Early County, GA"	"13099"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Early County, GA"	"13099"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Early County, GA"	"13099"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Early County, GA"	"13099"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Early County, GA"	"13099"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Early County, GA"	"13099"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Early County, GA"	"13099"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Echols County, GA"	"13101"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Echols County, GA"	"13101"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Echols County, GA"	"13101"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Echols County, GA"	"13101"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Echols County, GA"	"13101"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Echols County, GA"	"13101"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Echols County, GA"	"13101"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Echols County, GA"	"13101"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Echols County, GA"	"13101"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Effingham County, GA"	"13103"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Effingham County, GA"	"13103"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Effingham County, GA"	"13103"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Effingham County, GA"	"13103"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Effingham County, GA"	"13103"	"Decedent's home"	"4"	32	Not Applicable	Not Applicable
"Effingham County, GA"	"13103"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Effingham County, GA"	"13103"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Effingham County, GA"	"13103"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Effingham County, GA"	"13103"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Elbert County, GA"	"13105"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Elbert County, GA"	"13105"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Elbert County, GA"	"13105"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Elbert County, GA"	"13105"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Elbert County, GA"	"13105"	"Decedent's home"	"4"	21	Not Applicable	Not Applicable
"Elbert County, GA"	"13105"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Elbert County, GA"	"13105"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Elbert County, GA"	"13105"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Elbert County, GA"	"13105"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Emanuel County, GA"	"13107"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Emanuel County, GA"	"13107"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Emanuel County, GA"	"13107"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Emanuel County, GA"	"13107"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Emanuel County, GA"	"13107"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Emanuel County, GA"	"13107"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Emanuel County, GA"	"13107"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Emanuel County, GA"	"13107"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Emanuel County, GA"	"13107"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Evans County, GA"	"13109"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Evans County, GA"	"13109"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Evans County, GA"	"13109"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Evans County, GA"	"13109"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Evans County, GA"	"13109"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Evans County, GA"	"13109"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Evans County, GA"	"13109"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Evans County, GA"	"13109"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Evans County, GA"	"13109"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Fannin County, GA"	"13111"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Fannin County, GA"	"13111"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Fannin County, GA"	"13111"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Fannin County, GA"	"13111"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Fannin County, GA"	"13111"	"Decedent's home"	"4"	44	Not Applicable	Not Applicable
"Fannin County, GA"	"13111"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Fannin County, GA"	"13111"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Fannin County, GA"	"13111"	"Other"	"7"	12	Not Applicable	Not Applicable
"Fannin County, GA"	"13111"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Fayette County, GA"	"13113"	"Medical Facility - Inpatient"	"1"	13	Not Applicable	Not Applicable
"Fayette County, GA"	"13113"	"Medical Facility - Outpatient or ER"	"2"	20	Not Applicable	Not Applicable
"Fayette County, GA"	"13113"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Fayette County, GA"	"13113"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Fayette County, GA"	"13113"	"Decedent's home"	"4"	46	Not Applicable	Not Applicable
"Fayette County, GA"	"13113"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Fayette County, GA"	"13113"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Fayette County, GA"	"13113"	"Other"	"7"	27	Not Applicable	Not Applicable
"Fayette County, GA"	"13113"	"Place of death unknown"	"9"	17	Not Applicable	Not Applicable
"Floyd County, GA"	"13115"	"Medical Facility - Inpatient"	"1"	23	Not Applicable	Not Applicable
"Floyd County, GA"	"13115"	"Medical Facility - Outpatient or ER"	"2"	18	Not Applicable	Not Applicable
"Floyd County, GA"	"13115"	"Medical Facility - Dead on Arrival"	"3"	38	Not Applicable	Not Applicable
"Floyd County, GA"	"13115"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Floyd County, GA"	"13115"	"Decedent's home"	"4"	96	Not Applicable	Not Applicable
"Floyd County, GA"	"13115"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Floyd County, GA"	"13115"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Floyd County, GA"	"13115"	"Other"	"7"	22	Not Applicable	Not Applicable
"Floyd County, GA"	"13115"	"Place of death unknown"	"9"	16	Not Applicable	Not Applicable
"Forsyth County, GA"	"13117"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
"Forsyth County, GA"	"13117"	"Medical Facility - Outpatient or ER"	"2"	33	Not Applicable	Not Applicable
"Forsyth County, GA"	"13117"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Forsyth County, GA"	"13117"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Forsyth County, GA"	"13117"	"Decedent's home"	"4"	105	Not Applicable	Not Applicable
"Forsyth County, GA"	"13117"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Forsyth County, GA"	"13117"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Forsyth County, GA"	"13117"	"Other"	"7"	45	Not Applicable	Not Applicable
"Forsyth County, GA"	"13117"	"Place of death unknown"	"9"	24	Not Applicable	Not Applicable
"Franklin County, GA"	"13119"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Franklin County, GA"	"13119"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Franklin County, GA"	"13119"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Franklin County, GA"	"13119"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Franklin County, GA"	"13119"	"Decedent's home"	"4"	38	Not Applicable	Not Applicable
"Franklin County, GA"	"13119"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Franklin County, GA"	"13119"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Franklin County, GA"	"13119"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Franklin County, GA"	"13119"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Fulton County, GA"	"13121"	"Medical Facility - Inpatient"	"1"	121	Not Applicable	Not Applicable
"Fulton County, GA"	"13121"	"Medical Facility - Outpatient or ER"	"2"	307	Not Applicable	Not Applicable
"Fulton County, GA"	"13121"	"Medical Facility - Dead on Arrival"	"3"	35	Not Applicable	Not Applicable
"Fulton County, GA"	"13121"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
